frame,t,altitude_m
0,0.0,100.002
1,0.03333333333333333,100.051
2,0.06666666666666667,99.969
3,0.1,100.037
4,0.13333333333333333,100.01
5,0.16666666666666666,99.999
6,0.2,100.022
7,0.23333333333333334,100.004
8,0.26666666666666666,99.974
9,0.3,99.998
10,0.3333333333333333,99.999
11,0.36666666666666664,100.021
12,0.4,100.023
13,0.43333333333333335,100.044
14,0.4666666666666667,100.009
15,0.5,100.021
16,0.5333333333333333,100.0
17,0.5666666666666667,100.021
18,0.6,99.983
19,0.6333333333333333,99.965
20,0.6666666666666666,100.046
21,0.7,100.01
22,0.7333333333333333,99.974
23,0.7666666666666667,100.055
24,0.8,100.015
25,0.8333333333333334,100.01
26,0.8666666666666667,99.998
27,0.9,99.978
28,0.9333333333333333,100.037
29,0.9666666666666667,100.013
30,1.0,100.002
31,1.0333333333333334,99.974
32,1.0666666666666667,99.976
33,1.1,100.041
34,1.1333333333333333,99.933
35,1.1666666666666667,100.004
36,1.2,99.991
37,1.2333333333333334,99.987
38,1.2666666666666666,100.029
39,1.3,100.014
40,1.3333333333333333,100.021
41,1.3666666666666667,99.981
42,1.4,100.008
43,1.4333333333333333,99.967
44,1.4666666666666666,100.002
45,1.5,99.916
46,1.5333333333333334,99.991
47,1.5666666666666667,100.048
48,1.6,99.981
49,1.6333333333333333,99.979
50,1.6666666666666667,99.98
51,1.7,99.999
52,1.7333333333333334,100.078
53,1.7666666666666666,99.935
54,1.8,99.985
55,1.8333333333333333,100.019
56,1.8666666666666667,99.966
57,1.9,100.014
58,1.9333333333333333,100.021
59,1.9666666666666666,100.029
60,2.0,100.004
61,2.033333333333333,100.003
62,2.066666666666667,100.014
63,2.1,100.027
64,2.1333333333333333,100.0
65,2.1666666666666665,99.989
66,2.2,100.011
67,2.2333333333333334,100.034
68,2.2666666666666666,100.046
69,2.3,100.008
70,2.3333333333333335,100.02
71,2.3666666666666667,99.997
72,2.4,100.004
73,2.433333333333333,99.954
74,2.466666666666667,100.031
75,2.5,100.011
76,2.533333333333333,100.045
77,2.566666666666667,100.036
78,2.6,100.004
79,2.6333333333333333,99.987
80,2.6666666666666665,100.033
81,2.7,99.963
82,2.7333333333333334,99.994
83,2.7666666666666666,100.048
84,2.8,99.977
85,2.8333333333333335,99.995
86,2.8666666666666667,99.991
87,2.9,100.032
88,2.933333333333333,99.973
89,2.966666666666667,99.991
90,3.0,99.962
91,3.033333333333333,99.99
92,3.066666666666667,99.991
93,3.1,100.008
94,3.1333333333333333,100.074
95,3.1666666666666665,100.022
96,3.2,99.973
97,3.2333333333333334,99.985
98,3.2666666666666666,99.968
99,3.3,100.009
100,3.3333333333333335,99.993
101,3.3666666666666667,100.016
102,3.4,100.052
103,3.433333333333333,100.02
104,3.466666666666667,99.979
105,3.5,100.04
106,3.533333333333333,99.989
107,3.566666666666667,100.006
108,3.6,100.044
109,3.6333333333333333,99.964
110,3.6666666666666665,100.031
111,3.7,99.957
112,3.7333333333333334,100.01
113,3.7666666666666666,100.038
114,3.8,99.973
115,3.8333333333333335,99.989
116,3.8666666666666667,99.983
117,3.9,100.0
118,3.933333333333333,99.978
119,3.966666666666667,99.974
120,4.0,99.963
121,4.033333333333333,99.973
122,4.066666666666666,100.073
123,4.1,99.939
124,4.133333333333334,99.989
125,4.166666666666667,100.04
126,4.2,99.992
127,4.233333333333333,100.02
128,4.266666666666667,99.956
129,4.3,100.015
130,4.333333333333333,100.003
131,4.366666666666666,99.988
132,4.4,99.977
133,4.433333333333334,100.016
134,4.466666666666667,99.997
135,4.5,99.947
136,4.533333333333333,99.965
137,4.566666666666666,99.995
138,4.6,100.003
139,4.633333333333334,100.017
140,4.666666666666667,99.991
141,4.7,99.965
142,4.733333333333333,99.985
143,4.766666666666667,100.057
144,4.8,100.04
145,4.833333333333333,100.023
146,4.866666666666666,99.997
147,4.9,100.012
148,4.933333333333334,99.951
149,4.966666666666667,100.001
150,5.0,99.986
151,5.033333333333333,99.975
152,5.066666666666666,100.009
153,5.1,99.995
154,5.133333333333334,100.018
155,5.166666666666667,100.005
156,5.2,99.988
157,5.233333333333333,99.989
158,5.266666666666667,99.964
159,5.3,100.043
160,5.333333333333333,100.045
161,5.366666666666666,99.979
162,5.4,100.004
163,5.433333333333334,99.99
164,5.466666666666667,99.999
165,5.5,100.018
166,5.533333333333333,100.033
167,5.566666666666666,99.984
168,5.6,100.033
169,5.633333333333334,99.998
170,5.666666666666667,100.035
171,5.7,99.982
172,5.733333333333333,99.964
173,5.766666666666667,99.991
174,5.8,100.019
175,5.833333333333333,100.028
