frame,t,lat,lon,row,col
0,0.0,50.04217529296875,30.00782470703125,320,320
1,0.03333333333333333,50.041979980468746,30.00802001953125,328,328
2,0.06666666666666667,50.04178466796875,30.00821533203125,336,336
3,0.1,50.041589355468744,30.00841064453125,344,344
4,0.13333333333333333,50.04139404296875,30.00860595703125,352,352
5,0.16666666666666666,50.04119873046875,30.00880126953125,360,360
6,0.2,50.041003417968746,30.00899658203125,368,368
7,0.23333333333333334,50.04080810546875,30.00919189453125,376,376
8,0.26666666666666666,50.040612792968744,30.00938720703125,384,384
9,0.3,50.04041748046875,30.00958251953125,392,392
10,0.3333333333333333,50.04022216796875,30.00977783203125,400,400
11,0.36666666666666664,50.040026855468746,30.00997314453125,408,408
12,0.4,50.03983154296875,30.01016845703125,416,416
13,0.43333333333333335,50.039636230468744,30.01036376953125,424,424
14,0.4666666666666667,50.03944091796875,30.01055908203125,432,432
15,0.5,50.03924560546875,30.01075439453125,440,440
16,0.5333333333333333,50.039050292968746,30.01094970703125,448,448
17,0.5666666666666667,50.03885498046875,30.01114501953125,456,456
18,0.6,50.038659667968744,30.01134033203125,464,464
19,0.6333333333333333,50.03846435546875,30.01153564453125,472,472
20,0.6666666666666666,50.03826904296875,30.01173095703125,480,480
21,0.7,50.038073730468746,30.01192626953125,488,488
22,0.7333333333333333,50.03787841796875,30.01212158203125,496,496
23,0.7666666666666667,50.037683105468744,30.01231689453125,504,504
24,0.8,50.03748779296875,30.01251220703125,512,512
25,0.8333333333333334,50.03729248046875,30.01270751953125,520,520
26,0.8666666666666667,50.037097167968746,30.01290283203125,528,528
27,0.9,50.03690185546875,30.01309814453125,536,536
28,0.9333333333333333,50.03670654296875,30.01329345703125,544,544
29,0.9666666666666667,50.03651123046875,30.01348876953125,552,552
30,1.0,50.03631591796875,30.01368408203125,560,560
31,1.0333333333333334,50.036120605468746,30.01387939453125,568,568
32,1.0666666666666667,50.03592529296875,30.01407470703125,576,576
33,1.1,50.03572998046875,30.01427001953125,584,584
34,1.1333333333333333,50.03553466796875,30.01446533203125,592,592
35,1.1666666666666667,50.03533935546875,30.01466064453125,600,600
36,1.2,50.035144042968746,30.01485595703125,608,608
37,1.2333333333333334,50.03494873046875,30.01505126953125,616,616
38,1.2666666666666666,50.03475341796875,30.01524658203125,624,624
39,1.3,50.03455810546875,30.01544189453125,632,632
40,1.3333333333333333,50.03436279296875,30.01563720703125,640,640
41,1.3666666666666667,50.034167480468746,30.01583251953125,648,648
42,1.4,50.03397216796875,30.01602783203125,656,656
43,1.4333333333333333,50.03377685546875,30.01622314453125,664,664
44,1.4666666666666666,50.03358154296875,30.01641845703125,672,672
45,1.5,50.03338623046875,30.01661376953125,680,680
46,1.5333333333333334,50.033190917968746,30.01680908203125,688,688
47,1.5666666666666667,50.03299560546875,30.01700439453125,696,696
48,1.6,50.03280029296875,30.01719970703125,704,704
49,1.6333333333333333,50.03260498046875,30.01739501953125,712,712
50,1.6666666666666667,50.03240966796875,30.01759033203125,720,720
51,1.7,50.032214355468746,30.01778564453125,728,728
52,1.7333333333333334,50.03201904296875,30.01798095703125,736,736
53,1.7666666666666666,50.03182373046875,30.01817626953125,744,744
54,1.8,50.03162841796875,30.01837158203125,752,752
55,1.8333333333333333,50.03143310546875,30.01856689453125,760,760
56,1.8666666666666667,50.031237792968746,30.01876220703125,768,768
57,1.9,50.03104248046875,30.01895751953125,776,776
58,1.9333333333333333,50.03084716796875,30.01915283203125,784,784
59,1.9666666666666666,50.03065185546875,30.01934814453125,792,792
60,2.0,50.03045654296875,30.01954345703125,800,800
61,2.033333333333333,50.030261230468746,30.01973876953125,808,808
62,2.066666666666667,50.03006591796875,30.01993408203125,816,816
63,2.1,50.02987060546875,30.02012939453125,824,824
64,2.1333333333333333,50.02967529296875,30.02032470703125,832,832
65,2.1666666666666665,50.02947998046875,30.02052001953125,840,840
66,2.2,50.029284667968746,30.02071533203125,848,848
